endorsement_count,bib_id,isbn,title,sources
2,alo:book:isbn:9784641243088,9784641243088,独禁法講義,keiyakuwatch;shiseido
2,alo:book:isbn:9784335356025,9784335356025,条解独占禁止法,keiyakuwatch;shiseido
2,alo:book:isbn:9784335359019,9784335359019,条解独占禁止法,keiyakuwatch;shiseido
2,alo:book:isbn:9784417018285,9784417018285,下請法の法律相談,keiyakuwatch;shiseido
2,alo:book:isbn:9784641143739,9784641143739,著作権法入門,keiyakuwatch;shiseido
2,alo:book:isbn:9784641179547,9784641179547,知的財産法,keiyakuwatch;shiseido
2,alo:book:isbn:9784641044999,9784641044999,知的財産法,keiyakuwatch;shiseido
2,alo:book:isbn:9784335359323,9784335359323,条解著作権法,keiyakuwatch;shiseido
2,alo:book:isbn:9784908069567,9784908069567,若手弁護士のための初動対応の実務,legaljobboard;shiseido
2,alo:book:isbn:9784313511606,9784313511606,若手法律家のための法律相談入門,legaljobboard;shiseido
2,alo:book:isbn:9784313511767,9784313511767,若手法律家のための法律相談入門,legaljobboard;shiseido
2,alo:book:isbn:9784324100233,9784324100233,弁護士の周辺学 : 実務のための税務・会計・登記・戸籍の基礎知識,legaljobboard;shiseido
2,alo:book:isbn:9784788286818,9784788286818,交通事故事件の実務 : 裁判官の視点,legaljobboard;shiseido
2,alo:book:isbn:9784788279261,9784788279261,法律事務所の経理と税務,legaljobboard;osaka
2,alo:book:isbn:9784502387012,9784502387012,定款・各種規則の作成実務,legaljobboard;shiseido
2,alo:book:manual:title_1873,9784865561616,事例に学ぶ契約関係事件入門 : 事件対応の思考と実務,legaljobboard;shiseido
2,alo:book:isbn:9784896289343,9784896289343,事例に学ぶ建物明渡事件入門 : 権利実現の思考と実務,legaljobboard;shiseido
2,alo:book:isbn:9784865562156,9784865562156,事例に学ぶ損害賠償事件入門 : 事件対応の思考と実務,legaljobboard;shiseido
2,alo:book:manual:title_6327,9784865562033,事例に学ぶ刑事弁護入門 : 弁護方針完結の思考と実務,legaljobboard;shiseido
2,alo:book:manual:title_6332,,事例に学ぶ 成年後見入門〔第2版〕,legaljobboard;shiseido
2,alo:book:isbn:9784906531974,9784906531974,弁護のゴールデンルール,keisobiblio;niben
2,alo:book:isbn:9784324114179,9784324114179,要件事実マニュアル,niben;shiseido
2,alo:book:isbn:9784324114148,9784324114148,要件事実マニュアル,niben;shiseido
